simple_date,year,steps,mins_asleep,efficiency
2013-09-06,2013,19612,133,84
2013-09-07,2013,17648,336,83
2013-09-07,2013,17648,336,83
2013-09-08,2013,18410,335,71
2013-09-09,2013,21427,129,75
2013-09-10,2013,16317,129,83
2013-09-10,2013,16317,339,79
2013-09-12,2013,21483,0,0
2013-09-12,2013,21483,43,61
2013-09-12,2013,21483,0,0
2013-09-12,2013,21483,403,85
2013-09-15,2013,13404,24,52
2013-09-15,2013,13404,359,77
2013-09-16,2013,20025,444,75
2013-09-17,2013,18610,344,71
2013-09-18,2013,22723,39,100
2013-09-18,2013,22723,325,83
2013-09-19,2013,20148,392,79
2013-09-20,2013,18567,380,82
2013-09-21,2013,10344,432,83
2013-09-22,2013,20031,454,85
2013-09-23,2013,23937,276,58
2013-09-24,2013,19603,351,81
